Run:Fill,DeliveredLS,Delivered(/ub),SelectedLS,Recorded(/ub)
205158:3182,643,76076963.1698,"[81-289], [292-313], [315-473], [476-591], [594-595], [597-612], [615-663], [665-667], [672-685], [687-733], [736-741]",74721039.7169
205193:3185,817,93203264.289,"[80-109], [111-349], [352-486], [488-650], [652-712], [714-902]",91811938.7059
205217:3185,314,23927938.2769,"[1-12], [16-111], [113-171], [174-250], [253-322]",23737939.0013
205233:3188,60,8796269.60594,[94-153],8458029.11772
205236:3188,345,40483424.9586,"[1-190], [193-207], [209-260], [263-331], [334-352]",39726667.0022
205238:3188,610,50465647.1129,"[1-6], [9-199], [202-254], [256-304], [306-355], [358-381], [384-596], [598-621]",49884549.6683
205303:3191,82,10289113.7639,"[35-54], [90-132], [135-153]",10076203.9655
205310:3192,474,58910509.8476,"[76-306], [309-313], [316-316], [319-321], [324-457], [460-559]",57833044.8075
205311:3192,1249,89692820.7085,"[1-85], [88-92], [95-183], [186-395], [397-592], [595-910], [913-1260]",88840744.763
205339:3194,326,42173894.1031,"[71-175], [178-213], [216-230], [233-262], [265-404]",41351044.2659
205344:3194,1576,120900512.925,"[1-83], [86-104], [106-359], [362-431], [433-949], [951-967], [969-1127], [1129-1346], [1348-1586]",119718826.349
205515:3200,134,17792849.1153,"[82-201], [203-216]",17229253.9827
205519:3200,464,44332668.9022,"[1-47], [50-172], [175-367], [370-386], [389-472]",43702252.653
205526:3200,328,22440595.5832,"[1-269], [272-277], [280-332]",22237410.8861
205614:3201,38,4082019.94026,"[1-4], [7-40]",3942293.07343
205617:3201,536,45167928.1109,"[1-29], [32-102], [105-123], [125-140], [143-264], [266-448], [451-532], [534-547]",44636167.8788
205618:3201,12,802420.866387,[1-12],758353.988039
205620:3201,175,10545394.0861,[1-175],10476069.636
205666:3203,668,84732482.0952,"[60-119], [122-165], [168-259], [261-322], [325-578], [580-594], [597-721], [724-739]",83017921.0635
205667:3203,1095,85346750.1083,"[1-165], [168-282], [285-318], [321-412], [415-689], [692-751], [754-774], [777-1109]",84588219.2182
205683:3204,224,28863520.3899,"[76-82], [85-178], [181-198], [201-305]",28151179.1052
205690:3204,40,4407944.38978,[1-40],4312017.48387
205694:3204,881,62457934.1477,"[1-205], [208-230], [233-347], [350-452], [455-593], [595-890]",61904451.8306
205718:3207,672,85848711.7795,"[49-75], [78-97], [100-103], [105-176], [178-338], [341-361], [363-524], [527-531], [534-589], [591-734]",83736311.4997
205774:3208,80,10879405.6283,[1-80],10677811.2185
205777:3208,9,1184868.08732,[1-9],914475.133102
205781:3208,506,54691301.4241,"[1-89], [91-197], [200-509]",53869677.0557
205826:3209,386,51228075.2682,"[80-232], [235-303], [306-469]",50218325.9633
205833:3210,264,38814705.6102,"[84-86], [89-121], [123-155], [157-165], [167-173], [176-219], [221-267], [270-312], [315-346], [350-355], [360-366]",37708058.6318
205834:3210,201,23240768.2666,"[1-12], [14-202]",22914357.5762
205908:3212,146,20904571.2738,"[68-200], [202-214]",20320563.3967
205921:3214,811,91629969.8045,"[22-73], [76-268], [271-394], [397-401], [410-428], [431-498], [500-571], [574-779], [782-853]",89788563.0467
206066:3220,67,8479951.72021,[89-155],8163177.2946
206088:3223,196,28220098.3511,"[86-159], [161-178], [181-199], [202-286]",27127802.1683
206102:3226,254,35277585.6029,"[83-116], [120-130], [133-208], [211-235], [238-246], [249-278], [281-349]",34336474.9241
206187:3229,588,78818726.4064,"[107-169], [172-242], [245-288], [290-340], [343-427], [429-435], [437-486], [489-569], [571-647], [649-662], [664-708]",76955512.9916
206188:3229,57,5679163.46233,"[1-40], [42-58]",5624980.34901
206199:3231,114,14793767.9011,"[1-75], [77-82], [85-117]",14510003.9371
206207:3232,598,77176381.3844,"[82-130], [132-176], [179-194], [196-388], [390-419], [422-447], [450-569], [572-690]",75884326.3445
206208:3232,517,46376373.3245,"[1-470], [472-518]",45949928.5905
206210:3232,453,30963736.3106,"[11-25], [28-275], [277-298], [300-383], [386-469]",30683711.7615
206243:3236,829,100787327.985,"[62-169], [172-196], [199-354], [357-433], [435-448], [451-533], [536-554], [557-723], [726-905]",98735058.1117
206245:3236,62,5403130.79339,[1-62],5279419.06847
206246:3236,1272,80458110.7324,"[1-14], [16-237], [240-285], [288-407], [412-676], [678-704], [706-785], [787-962], [965-997], [1000-1198], [1201-1290]",79783874.1343
206257:3236,29,1220492.97347,[1-29],1175985.03963
206258:3236,245,9403031.88447,"[1-36], [39-223], [226-249]",9317429.89728
206302:3238,262,33787752.0388,"[1-8], [11-33], [36-44], [47-82], [84-108], [110-149], [151-186], [189-229], [231-232], [234-241], [243-276]",33204962.438
206303:3238,283,29744624.1766,"[1-19], [23-286]",29314336.6229
206304:3238,69,5722761.90396,"[1-4], [6-70]",5675749.69574
206331:3240,222,32311441.1003,"[91-222], [225-314]",31707054.8469
206389:3242,300,42269277.4218,"[88-185], [187-249], [252-272], [275-392]",41091325.2185
206391:3242,97,8912188.50746,"[1-55], [57-98]",8836053.13373
206401:3244,337,48934415.2827,"[69-90], [92-194], [197-210], [212-249], [251-265], [267-411]",47735379.6058
206446:3249,1004,115108175.018,"[92-141], [143-159], [162-205], [208-301], [304-442], [445-445], [448-474], [476-616], [619-872], [874-910], [912-948], [950-989], [992-1030], [1033-1075], [1109-1149]",112965236.505
206448:3249,1230,78678282.6641,"[1-143], [145-559], [561-1170], [1173-1231], [1235-1237]",77885159.4384
206466:3250,644,81217949.0765,"[24-137], [140-277], [280-296], [299-303], [306-405], [407-419], [422-477], [480-511], [514-682]",79539940.2473
206476:3252,141,21775547.9777,"[73-129], [133-137], [140-141], [143-219]",20538193.4316
206477:3252,171,22610774.219,"[1-14], [16-31], [33-41], [44-51], [53-70], [73-75], [77-89], [91-94], [97-115], [118-184]",21820248.4691
206478:3252,144,16374569.547,"[1-27], [29-136], [139-147]",16200052.3509
206484:3253,587,76182994.1596,"[73-95], [98-133], [136-163], [166-186], [189-384], [387-463], [465-551], [554-554], [556-673]",74713357.9095
206512:3259,1103,116179496.28,"[91-123], [125-133], [136-161], [163-190], [193-201], [203-212], [214-332], [334-584], [587-604], [607-1005], [1008-1123], [1126-1163], [1165-1211]",114401882.855
206513:3259,319,22326795.1423,"[3-39], [42-188], [191-234], [237-238], [241-329]",22174714.0825
206542:3261,822,97577217.7991,"[1-115], [117-165], [168-511], [514-547], [550-603], [606-668], [671-727], [730-739], [741-836]",95625628.1721
206550:3262,77,9834411.55677,"[77-132], [135-155]",9439071.59767
206572:3264,11,1764718.54831,[37-47],1379975.57102
206573:3264,13,1989939.17344,[2-14],1805822.16381
206574:3264,87,12119093.9022,[1-87],11855329.0091
206575:3264,72,8285099.03964,"[1-7], [10-10], [12-75]",8125008.13589
206594:3265,206,30030001.7666,"[72-107], [110-246], [249-281]",29170342.9543
206595:3265,189,23025150.6079,"[1-34], [37-42], [45-193]",22756417.0291
206596:3265,800,70711357.8434,"[1-13], [15-220], [222-228], [231-236], [239-292], [295-695], [697-728], [730-810]",69995478.617
206598:3265,714,43281110.7241,"[1-81], [83-103], [105-588], [591-657], [659-719]",42965072.35
206605:3265,80,3801200.4555,"[1-36], [39-82]",3779665.80684
206744:3266,398,50681386.5144,"[49-157], [160-192], [195-395], [398-452]",49754843.228
206745:3266,1850,132348533.481,"[1-81], [84-199], [202-224], [227-237], [240-304], [306-318], [321-720], [723-796], [799-894], [897-944], [946-1106], [1108-1524], [1527-1862], [1988-1996]",131248967.555
206859:3269,754,96736071.8801,"[79-210], [212-258], [260-323], [325-356], [359-609], [612-681], [684-732], [734-768], [771-808], [811-827], [830-848]",95025432.5701
206866:3269,271,25446132.5462,"[1-30], [33-113], [115-274]",25213546.2253
206868:3269,10,844665.109186,"[1-3], [10-16]",803715.747787
206869:3269,743,52369210.3443,"[1-251], [253-271], [274-502], [507-520], [522-566], [568-752]",51963158.5566
206897:3272,124,18573712.5422,"[1-34], [38-61], [63-102], [109-109], [111-112], [114-131], [133-137]",17164240.57
206901:3272,98,13098327.342,[1-98],12872744.6067
206906:3272,206,23000280.1101,"[1-31], [38-94], [96-136], [138-139], [142-149], [151-175], [177-218]",21677985.8306
206940:3273,1017,98114434.8605,"[1-151], [153-153], [155-298], [301-382], [384-712], [715-803], [805-960], [963-1027]",96890689.1654
207099:3279,1070,121100579.855,"[83-134], [137-172], [175-213], [216-314], [316-320], [323-330], [333-367], [370-481], [484-602], [605-755], [757-1046], [1048-1171]",119318080.023
207100:3279,96,7321323.93512,"[1-91], [94-98]",7249597.825
207214:3285,745,90125133.7601,"[57-112], [114-177], [179-181], [184-196], [199-220], [223-262], [265-405], [408-482], [485-640], [643-708], [718-757], [759-808], [811-829]",88696186.5637
207217:3285,32,2940797.48758,[1-32],2904109.42741
207219:3285,112,9912021.58441,[1-112],9733258.9938
207220:3285,160,13225668.3048,[1-160],13028940.3709
207221:3285,102,7833716.31773,[1-102],7715629.86739
207222:3285,287,20041076.4849,"[1-17], [20-289]",19860248.374
207231:3286,1405,149633435.213,"[70-84], [86-121], [123-184], [187-189], [192-303], [306-354], [357-481], [484-504], [508-549], [552-626], [628-690], [693-875], [878-1000], [1003-1170], [1173-1187], [1189-1227], [1229-1415], [1418-1445], [1447-1505]",145360849.304
207233:3286,154,9832942.27499,"[1-119], [121-155]",9750581.49944
207269:3287,476,58731827.7132,"[80-394], [397-436], [439-463], [466-551], [568-577]",57673959.3776
207273:3287,875,74692871.1691,[3-877],74073217.2674
207279:3288,997,108074002.573,"[68-138], [141-149], [151-237], [240-266], [269-307], [309-416], [498-551], [554-640], [643-961], [963-1095], [1098-1160]",106546303.339
207320:3288,349,21738955.7945,"[1-110], [112-350]",21549550.7652
207371:3292,51,7332386.88665,"[72-117], [120-124]",7115032.47613
207372:3292,494,57793437.0164,"[1-27], [30-113], [116-154], [156-174], [176-478], [480-501]",56656958.2731
207397:3293,144,21318545.3192,"[32-77], [80-140], [143-179]",20774120.742
207398:3293,34,4184946.0031,"[1-14], [16-35]",4121511.02728
207454:3296,1880,176952801.185,"[79-95], [98-123], [126-259], [261-363], [365-458], [461-498], [501-609], [612-632], [635-781], [784-866], [869-974], [977-1064], [1067-1079], [1081-1321], [1323-1464], [1467-1569], [1571-1604], [1607-1712], [1714-1988]",174732467.197
207469:3297,49,6914505.58524,"[1-31], [34-51]",6721384.73467
207477:3298,480,67085907.5494,"[76-104], [107-111], [114-147], [150-295], [298-483], [486-494], [497-527], [530-563], [565-570]",65658438.6799
207487:3299,415,57939543.1718,"[50-98], [101-311], [313-359], [363-468], [471-472]",56692938.8872
207488:3299,427,44476132.4883,"[1-63], [66-92], [95-113], [116-198], [200-250], [252-288], [291-365], [368-377], [379-440]",43970072.7566
207490:3299,109,9825617.10982,"[1-48], [51-111]",9679881.76155
207491:3299,456,34760837.4625,"[1-176], [179-458]",34473654.4691
207492:3299,296,18699238.8381,"[1-20], [23-298]",18528763.9112
207515:3300,1113,131934686.176,"[79-109], [112-132], [134-208], [211-225], [228-320], [322-381], [383-498], [500-730], [733-849], [851-954], [957-994], [997-1052], [1055-1143], [1145-1211]",129644132.869
207517:3300,55,4533865.25472,"[1-12], [15-57]",4495945.4397
207518:3300,82,6469335.4927,"[1-59], [61-83]",6418984.54714
207882:3318,24,3463857.46847,[22-45],3219932.64981
207883:3318,72,9971941.46998,"[1-1], [3-4], [7-75]",9252275.16033
207884:3318,182,22847193.9291,"[1-106], [108-183]",22229785.8994
207885:3318,90,9873178.0719,[1-90],9359243.68904
207886:3318,167,16863849.3247,"[1-30], [32-90], [92-156], [158-166], [168-171]",16401021.5843
207889:3318,931,68480756.8472,"[1-43], [47-57], [60-303], [306-442], [445-445], [447-551], [553-731], [733-907], [910-945]",67720157.2056
207898:3319,279,34736610.6879,"[1-33], [36-57], [60-235], [239-257], [260-288]",33997234.6953
207905:3322,1700,165198699.539,"[75-196], [198-281], [284-329], [331-402], [404-565], [568-672], [675-805], [807-850], [852-861], [864-884], [886-1180], [1183-1283], [1285-1331], [1333-1515], [1518-1734], [1737-1796]",162710319.188
207920:3323,731,90380691.3469,"[84-146], [149-241], [243-261], [264-291], [294-486], [489-518], [520-598], [600-708], [710-826]",88775141.8558
207921:3323,56,5401747.7538,"[1-37], [40-58]",5329844.77477
207922:3323,255,21859255.4835,"[1-69], [71-100], [103-126], [129-242], [274-291]",21538240.6142
207924:3323,335,24525746.1079,"[1-52], [54-171], [173-178], [181-339]",24291171.9106
208307:3347,1291,124255646.452,"[2-42], [45-45], [47-70], [72-147], [150-252], [256-259], [262-275], [278-342], [345-450], [453-527], [530-583], [586-605], [608-616], [618-667], [670-761], [763-798], [800-889], [891-893], [896-1055], [1057-1205], [1208-1294], [1297-1328]",122787497.288
208339:3350,280,37369951.9455,"[77-89], [91-122], [125-208], [211-346], [349-363]",36419323.0397
208341:3350,816,74675381.16,"[1-84], [86-117], [120-513], [515-685], [688-693], [695-775], [777-824]",73289726.2832
208351:3351,283,39009090.2679,"[83-97], [100-356], [359-369]",37754031.3298
208353:3351,346,36025569.2922,"[1-76], [78-269], [271-348]",35502253.6545
208357:3351,505,40625361.3471,"[1-70], [73-507]",40250435.4006
208390:3360,97,15227319.3043,"[72-128], [130-169]",14842238.2857
208391:3360,805,83292927.3187,"[52-82], [84-162], [164-216], [219-493], [495-498], [500-523], [526-533], [535-588], [591-660], [663-869]",82386217.2842
208427:3363,580,73626203.2134,"[49-89], [92-161], [164-164], [166-173], [175-268], [271-312], [315-315], [317-335], [337-361], [364-402], [404-422], [425-577], [580-647]",72122190.0867
208428:3363,222,21523362.0593,"[1-58], [61-68], [70-156], [159-227]",21035162.7523
208429:3363,908,66119482.7497,"[1-56], [59-139], [141-159], [162-237], [240-440], [442-452], [455-589], [592-712], [715-922]",65573830.7118
208487:3370,623,75269620.6762,"[2-26], [29-159], [161-307], [309-459], [462-476], [479-632]",73977353.57
208509:3372,162,1137711.00562,[71-232],1126839.83147
208538:3374,42,6652751.01929,[2-43],6266531.03052
208540:3374,96,13934564.7107,"[1-26], [29-98]",13368202.2066
208541:3374,414,47135636.9724,"[1-57], [59-173], [175-376], [378-417]",46424712.4256
208551:3375,454,58620310.0928,"[119-193], [195-212], [215-300], [303-354], [356-554], [557-580]",57252652.9858
208686:3378,383,53389921.5193,"[73-79], [82-181], [183-224], [227-243], [246-311], [313-463]",52168412.836
